"interaction_pairs","interaction","value","scram_mean","scram_sd","p_val","cell_type1","cell_type2","interact_ratio","p_val_adj"
"mCAF-remodeling_mCAF-remodeling","ADAM12_SDC4",0.863184474514402,0.0898862743679767,0.109816323411448,9.49240686054509e-13,"mCAF-remodeling","mCAF-remodeling",9.60307322317859,1.71949319189959e-10
"mCAF-patient4-specific_mCAF-remodeling","ADAM12_SDC4",0.872769964775381,0.186532807068758,0.167856585342781,2.1733390783818e-05,"mCAF-patient4-specific","mCAF-remodeling",4.67890865146134,0.00118523084067894
"mCAF-remodeling_B/T-mixed-patient4","ADAM12_SDC4",0.827756316281658,0.0990709067556281,0.115637636593713,1.47431844510493e-10,"mCAF-remodeling","B/T-mixed-patient4",8.35519067493177,2.09392403748291e-08
"mCAF-classical_Macrophages-monocyte-derived","ADAM12_SDC4",0.797755061665812,0.16239099126302,0.193266204010689,0.000505392713454622,"mCAF-classical","Macrophages-monocyte-derived",4.91255737440329,0.0170646382593674
"mCAF-classical_iCAF-secretory","ADAM12_SDC4",0.820667662434075,0.067743641004013,0.0664183254873185,0,"mCAF-classical","iCAF-secretory",12.114312875292,0
"iCAF-secretory_iCAF-secretory","ADAM12_SDC4",0.787413500956081,0.184847247218286,0.193259948187156,0.000910705999798922,"iCAF-secretory","iCAF-secretory",4.25980647700004,0.0275205454456141
"mCAF-classical_T-cells-CD4-Treg","ADAM12_SDC4",0.815140415342836,0.129016335533904,0.164045193525802,1.44140953551863e-05,"mCAF-classical","T-cells-CD4-Treg",6.31811787220252,0.000823690116875038
"iCAF-classical_LumProgenitors-transitional-pat4","ADAM12_SDC4",0.519528664167908,0.13278570704022,0.111532854961117,0.000262637490157092,"iCAF-classical","LumProgenitors-transitional-pat4",3.91253453212813,0.00997136119379722
"mCAF-classical_LumProgenitors-transitional-pat4","ADAM12_SDC4",0.96390891544845,0.161865921639122,0.260266928445927,0.00102939771256305,"mCAF-classical","LumProgenitors-transitional-pat4",5.9549836413218,0.0303935024601633
"mCAF-remodeling_Cancer-Basal/Plastic-pat4","ADAM12_SDC4",1.31933405483482,0.295311911815988,0.296230692917187,0.000273274508409416,"mCAF-remodeling","Cancer-Basal/Plastic-pat4",4.46759511569214,0.0103008914248324
"mCAF-patient4-specific_Cancer-Basal/Plastic-pat4","ADAM12_SDC4",1.3289195450958,0.225787962481557,0.304847622036318,0.000148081796546906,"mCAF-patient4-specific","Cancer-Basal/Plastic-pat4",5.88569705173874,0.00615208629968925
"Cancer-Basal/Cycl-pat4_mCAF-classical","ADAM15_ITGA5",1.16799923492257,0.21611064669721,0.133230842019568,4.51083614905201e-13,"Cancer-Basal/Cycl-pat4","mCAF-classical",5.4046353234926,8.47640638997686e-11
"LumProgenitors-Cycl-pat4_mCAF-classical","ADAM15_ITGA5",1.04953470757907,0.267699480387756,0.164298492902142,9.74571704337457e-07,"LumProgenitors-Cycl-pat4","mCAF-classical",3.92057058182871,7.4014816771054e-05
"Endothelial_mCAF-classical","ADAM15_ITGA5",1.1238324495832,0.174940341385741,0.133436176071843,5.75206549058294e-13,"Endothelial","mCAF-classical",6.42408972499469,1.06820503789062e-10
"B-cells-activated_mCAF-classical","ADAM15_ITGA5",0.754155607282166,0.234188206951505,0.141703141493209,0.000121553856652135,"B-cells-activated","mCAF-classical",3.22029711529554,0.00520110836941122
"T-cells-atypical_mCAF-classical","ADAM15_ITGA5",0.793780636200767,0.140101625426789,0.0929852746721048,1.03328456901863e-12,"T-cells-atypical","mCAF-classical",5.66574894318813,1.86698712280417e-10
"T-cells-CD4-Treg_mCAF-classical","ADAM15_ITGA5",0.739545956730118,0.189122512606775,0.177605319588025,0.000970422069572208,"T-cells-CD4-Treg","mCAF-classical",3.91040678624965,0.0289966753856237
"Cancer-Basal/Plastic-pat4_mCAF-classical","ADAM15_ITGA5",1.10005163129659,0.279464090442586,0.268385356754064,0.00111596774416589,"Cancer-Basal/Plastic-pat4","mCAF-classical",3.93628973781371,0.0323792731526346
"mCAF-patient4-specific_mCAF-classical","ADAM15_ITGA5",0.82300886537545,0.207066918050966,0.139037045885573,4.71042352301332e-06,"mCAF-patient4-specific","mCAF-classical",3.97460334621332,0.000304139262360398
"LumProgenitors-Cycl-pat4_Macrophages-immunoregulatory","ADAM15_ITGA5",0.411177378043118,0.132477320788011,0.0730494463969926,6.8029515465251e-05,"LumProgenitors-Cycl-pat4","Macrophages-immunoregulatory",3.10375674566275,0.0031794706309604
"LumProgenitors-Cycl-pat4_Endothelial","ADAM15_ITGA5",0.795949595064463,0.224207118734202,0.194608121171857,0.00165212821474003,"LumProgenitors-Cycl-pat4","Endothelial",3.55006388538475,0.0440327189402347
"pDCs_Endothelial","ADAM15_ITGA5",0.49950302072057,0.144309025357149,0.0949253676810162,9.1344813961447e-05,"pDCs","Endothelial",3.46134290273498,0.00407194035125324
"apCAF-classical_Endothelial","ADAM15_ITGA5",0.652552496492201,0.180652811671412,0.126482001044915,9.53745636012027e-05,"apCAF-classical","Endothelial",3.61219119954315,0.00422164277692215
"LumProgenitors-transitional-pat4_Endothelial","ADAM15_ITGA5",0.682440082642497,0.165080376908784,0.122299777286535,1.16711318669527e-05,"LumProgenitors-transitional-pat4","Endothelial",4.13398670042766,0.000683012850530085
"Cancer-Basal/Plastic-pat4_Endothelial","ADAM15_ITGA5",0.84646651878199,0.206402552511349,0.196350584723712,0.000557450705310436,"Cancer-Basal/Plastic-pat4","Endothelial",4.10104675781782,0.0184908578926297
"Cancer-Basal/Plastic-pat4_apCAF-classical","ADAM15_ITGA5",0.775979492227652,0.236361638213759,0.152259111765715,0.000196995875758055,"Cancer-Basal/Plastic-pat4","apCAF-classical",3.28301791310939,0.00784496850363935
